"paramcd"	"param"	"maxscore"	"paramlong"	"ptype"	"score"	"score.type"
"mFARS"	"mFARS Total"	93	"mFARS Total"	"total"	"mFARS"	"Total Score"
"FARS.E"	"UPRIGHT.STABILITY"	36	"Upright Stability (FARS.E)"	"subscore"	"mFARS"	"Axial Function"
"fane1"	"sitting"	4	"E1.sitting"	"item"	NA	"Total Score"
"fane2a"	"stance.feet.apart"	4	"E2a.feet.apart"	"item"	NA	"Total Score"
"fane2b"	"ft.ap.eyes.closed"	4	"E2b.ft.ap.eyes.closed"	"item"	NA	"Total Score"
"fane3a"	"feet.together"	4	"E3a.feet.together"	"item"	NA	"Total Score"
"fane3b"	"ft.tg.eyes.closed"	4	"E3b.ft.tg.eyes.closed"	"item"	NA	"Total Score"
"fane4"	"tandem.stance"	4	"E4.tandem.stance"	"item"	NA	"Total Score"
"fane5"	"stance.dom.foot"	4	"E5.stance.dom.foot"	"item"	NA	"Total Score"
"fane6"	"tandem.walk"	3	"E6.tandem.walk"	"item"	NA	"Total Score"
"fane7"	"gait"	5	"E7.gait"	"item"	NA	"Total Score"
"a1.speech"	"speech"	4	"ADL1.speech"	"item"	NA	"Total Score"
"a2.swallow"	"swallow"	4	"ADL2.swallow"	"item"	NA	"Total Score"
"a3.eat"	"eat"	4	"ADL3.eat"	"item"	NA	"Total Score"
"a4.dress"	"dress"	4	"ADL4.dress"	"item"	NA	"Total Score"
"a5.body"	"body"	4	"ADL5.body"	"item"	NA	"Total Score"
"a6.fall"	"fall"	4	"ADL6.fall"	"item"	NA	"Total Score"
"a7.walk"	"walk"	4	"ADL7.walk"	"item"	NA	"Total Score"
"a8.sit"	"sit"	4	"ADL8.sit"	"item"	NA	"Total Score"
"a9.bladder"	"bladder"	4	"ADL9.bladder"	"item"	NA	"Total Score"
"ADL"	"ADL"	36	"Activities of Daily Living"	"total"	"SARA"	"Axial Function"
"ADL.lower"	"ADL.lower"	8	"Activities of Daily Living"	"subscore"	NA	"Total Score"
"ADL.upper"	"ADL.upper"	12	"Activities of Daily Living"	"subscore"	"SARA"	"Speech Disorder"
"ADL.bulbar"	"ADL.bulbar"	8	"Activities of Daily Living"	"subscore"	NA	"Total Score"
"ADL.other"	"ADL.other"	8	"Activities of Daily Living"	"subscore"	NA	"Total Score"
"s1.gait"	"sgait"	8	"S1.gait"	"item"	NA	"Total Score"
"s2.stance"	"sstance"	6	"S2.stance"	"item"	NA	"Total Score"
"s3.sit"	"ssitting"	4	"S3.sit"	"item"	NA	"Total Score"
"s4.speech"	"sdisturb"	6	"S4.speech"	"item"	NA	"Total Score"
"s5.fchase"	"sfingermean"	4	"S5.fchase"	"item"	NA	"Total Score"
"s6.fnose"	"sfingernosemean"	4	"S6.fnose"	"item"	NA	"Total Score"
"s7.alter"	"salthandmean"	4	"S7.hand"	"item"	NA	"Total Score"
"s8.hesh"	"sheelshinmean"	4	"S8.heelshin"	"item"	NA	"Total Score"
"s1f.gait"	"sgait"	4	"S1f.gait"	"item"	NA	"Total Score"
"s2f.stance"	"sstance"	4	"S2f.stance"	"item"	NA	"Total Score"
"s4f.speech"	"sdisturb"	4	"S4f.speech"	"item"	NA	"Total Score"
"SARA.ki"	"SARA.ki"	16	"SARA.kinetic"	"subscore"	"SARA"	"Appendicular Function"
"SARA.ku"	"SARA.ku"	12	"SARA.kupper"	"subscore"	"mFARS"	"Speech Disorder"
"SARA.ax"	"SARA.ax"	24	"SARA.axial"	"subscore"	"mFARS"	"Appendicular Function"
"SARA"	"sarasum"	40	"SARA"	"total"	"SARA"	"Total Score"
"fSARA"	"sarasum"	16	"fSARA"	"total"	"fSARA"	"Total Score"
